clone1	a2	0	0.197445145544964	red
clone2	a2	0.197445145544964	0.380559155856886	orange
clone3	a2	0.380559155856886	0.535276276994271	yellow
clone4	a2	0.535276276994271	0.659212605722014	green
clone5	a2	0.659212605722014	0.75949946476008	springgreen
clone6	a2	0.75949946476008	0.835413898612874	cyan
clone7	a2	0.835413898612874	0.888652289149319	deepskyblue
clone8	a2	0.888652289149319	0.934723042677969	blue
clone9	a2	0.934723042677969	0.974177652024271	magenta
clone10	a2	0.974177652024271	1	darkgreen
clone1	a1	0	0.0328268917057274	red
clone2	a1	0.0328268917057274	0.131630760404427	orange
clone3	a1	0.131630760404427	0.172155194766597	yellow
clone4	a1	0.172155194766597	0.315402998503951	green
clone5	a1	0.315402998503951	0.476764248604172	springgreen
clone6	a1	0.476764248604172	0.52432749743141	cyan
clone7	a1	0.52432749743141	0.668519094310241	dodgerblue
clone8	a1	0.668519094310241	0.76556187388934	blue
clone9	a1	0.76556187388934	0.93622160473774	magenta
clone10	a1	0.93622160473774	1	darkgreen
clone1	a3	0	0.132990357067882	red
clone2	a3	0.132990357067882	0.230316786534373	orange
clone3	a3	0.230316786534373	0.247366495372506	yellow
clone4	a3	0.247366495372506	0.394784734142563	green
clone5	a3	0.394784734142563	0.540525169330666	springgreen
clone6	a3	0.540525169330666	0.598392876809601	cyan
clone7	a3	0.598392876809601	0.72956826426831	dodgerblue
clone8	a3	0.72956826426831	0.746511418158915	blue
clone9	a3	0.746511418158915	0.864001442848461	magenta
clone10	a3	0.864001442848461	1	darkgreen
